artist,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
Fabri Fibra,1675582.0,italian trap,66.0,artist,"2,136.9",0.89,"1,118.5",662.7,181289.0,2.0,2.0
Mike Perry,1408027.0,tropical house,57.0,artist,"2,132.3",0.192,"1,766.1",135.0,52259.0,2.0,2.0
Pet Shop Boys,2202459.0,"synthpop, new wave",69.0,artist,"2,127.2",1.21,"2,082.7","1,978.3",35226.0,2.0,2.0
Moira Dela Torre,10604714.0,"opm, p-pop, harana, pinoy indie, kundiman",64.0,artist,"2,126.7",0.63,"1,660.4","1,228.4",1468292.0,6.0,6.0
MadeinTYO,1031673.0,nan,55.0,artist,"2,026.6",0.157,"1,289.1",717.8,2072567.0,4.0,4.0
Edwin Luna y La Trakalosa de Monterrey,4529968.0,"banda, norteño",66.0,artist,"2,124.7",1.046,"2,028.2","1,863.1",12406.0,4.0,4.0
Deep Purple,5996459.0,"hard rock, classic rock, rock",65.0,artist,"2,123.5",0.749,"2,123.5","2,099.7",93915.0,1.0,1.0
Ghali,3344470.0,italian trap,64.0,artist,"2,122.6",0.637,"1,504.1","1,181.8",1974600.0,8.0,8.0
Gloria Groove,3802469.0,"brazilian pop, funk pop, pagode, brazilian funk",66.0,artist,"2,119.9",0.864,"1,287.8","1,053.5",6894.0,1.0,1.0
Far East Movement,1106631.0,nan,65.0,artist,"2,119.5",0.742,"1,707.4",7.0,729875.0,10.0,10.0
Myles Smith,1335268.0,nan,75.0,artist,"2,117.4",2.765,"2,048.3","2,017.3",196620.0,3.0,3.0
Brandon Lake,1544986.0,"worship, christian, ccm",75.0,artist,"2,063.6",2.757,920.7,759.6,490798.0,2.0,2.0
JP Saxe,629124.0,nan,61.0,artist,"2,110.1",0.378,"2,022.8",444.9,1429551.0,9.0,9.0
Fitz and The Tantrums,1011128.0,nan,65.0,artist,"2,109.4",0.717,"2,064.0","2,050.1",749453.0,2.0,2.0
